category,subtype,indicator,version_or_installer_type,serial,CN,thumbprint
PDF Editor,MSI package,0826824694c80b854603f4c4103133113a197d3ecbca4308899ae9d6f05847fa,,,,
PDF Editor,MSI package,08ea829d5c97aab089abe19686d274f829aa1cee3670d2819885e33f39a4d602,,,,
PDF Editor,MSI package,105e58c4c04b56607badd705411e3322c152b8dbb21d994e7cdec62253a0e454,,,,
PDF Editor,MSI package,244251cab1f6df4bb39ba28645cbc4e26f84298b588b568a796d6520912c6156,,,,
PDF Editor,MSI package,26163c7da9f0d9000937663497d7eb15df5c205cc2edbb71d664f08a5b1f80ce,,,,
PDF Editor,MSI package,2a3f76fc7f953403653eff71f21c16d40512c1bcd7a038657bb1d0a4efbee677,,,,
PDF Editor,MSI package,2bfa87dee2000f4e7889174f051ab88f4b690d08629b94721e321c44b7cf1bd3,,,,
PDF Editor,MSI package,2c9895fbdf8b86715a8e501f85d206b28cf9b61478826409a8a8ea17a067da22,,,,
PDF Editor,MSI package,35c34043a4a8b1f15ce9ab7661be6ace91348f725d59e53f04a36c41999812c7,,,,
PDF Editor,MSI package,3d4bdd41ebc630b8b676fc39e14de75a59cebf545cf342a4dea8072f5768c13e,,,,
PDF Editor,MSI package,406e26453a9eb779da6dd792e82cf904fbaf11b9e15471316276bb49098bdbf6,,,,
PDF Editor,MSI package,504a614d8baae84c7c57e1786d22981fb016e4c9396ab10cc73197aa483d9261,,,,
PDF Editor,MSI package,6438b3c4eb5810c003d6f2cf1712652d3ce0504f08ae05aec1f07594e0a58a52,,,,
PDF Editor,MSI package,6c4e54bbf98113068bdeef172ae6fb05fe1e99bb50ae4622b06e06af35b2b043,,,,
PDF Editor,MSI package,6e4cd57e87e034723d4c1a3ff93e8c9def0f27961da3e5bc361536e847a119cb,,,,
PDF Editor,MSI package,898aa0bca40ec01d3564cb33f7a79f2e651f987ea65db913a62d427973ba5478,,,,
PDF Editor,MSI package,94acbfe1958b1b985701c8232fd3262ee01ef665ba59a92489b900d8f988b233,,,,
PDF Editor,MSI package,9704e97a395649e9ea4450b3afde5c1f1b22caa05407c4db3ef1625b9db05324,,,,
PDF Editor,MSI package,9f572779dba2ef760f8a2bd7391dcafc099c430bcbd94c7d5247b210e1f095da,,,,
PDF Editor,MSI package,abb7541aba5abe1ff27b3867c1d45cea9c678743648ed8eed50bf32f8676e510,,,,
PDF Editor,MSI package,af1185876d9d71955e6829f2475c1dce06d33522d0d0e66817d47b9318951314,,,,
PDF Editor,MSI package,b66d89ee13a48e9c8d4a7aa2e3e1cb2b79f0b95e4f74f4184b85628656281588,,,,
PDF Editor,MSI package,b9906cc6622a11fb67d5ad9db784dc9b62a0da5bd1fd4fe8887f74bfbbfe125d,,,,
PDF Editor,MSI package,b9b4375c1992b71f9dc08ee613b2b316b8df8b9e1fdd2c7a1e98d89f43a1625f,,,,
PDF Editor,MSI package,bfdb330a8c56def312154c44aed2b36705850adaf6febced8d6d7740beb27715,,,,
PDF Editor,MSI package,c0308cc7c56443ad23fbb26671dc8f77d253e873f77c4c3d2486b34317feb417,,,,
PDF Editor,MSI package,c4f0b51308eb02c20e9bb33df80442b85b0cc0ad3ccf2598546d67c49242d506,,,,
PDF Editor,MSI package,cdf51e7f8f24b01bed83da50839b15f143569740c88c2033c43cfc9c17c1b5c8,,,,
PDF Editor,MSI package,d162b02a9163fc68ece3db162af0da2c33a595e2258aff171064a5383f41a566,,,,
PDF Editor,MSI package,e11aa8dd0b0bc4c21cb081f70565225abc192159f7deb4396aec5720941841ae,,,,
PDF Editor,MSI package,f145e61e5d89f51fd3b94fef3e8bc2571aeae4c91c701751e9f603dfd5037dd9,,,,
PDF Editor,MSI package,f181501175a30d5fce22af768321cd3de000bba5b19281f39abed236862a3107,,,,
PDF Editor,MSI package,f748022beadc73f905f9cd2d5b94be2095265433f6c9770860facda2f6b623c6,,,,
PDF Editor,MSI package,fbc7ffc5bdda978afe0f20910210752d91762b97d6d7719a5b3a1e352a4717c3,,,,
PDF Editor,MSI package,fde67ba523b2c1e517d679ad4eaf87925c6bbf2f171b9212462dc9a855faa34b,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",09207f1dfdd000b42b3433b85d051e8e446a1a1f2f63ab66d47edb9b196f618c,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",231ddfa8114475892dd404f27b769ab2e43e9101ec7a7d3608546154a8b75d4d,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",255062c602a36f649baaec922cc8b98b27854e8e90b6ee8ded660a2e4e101b77,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",37bd388296f6c46e45aa42053758ae17328cfa677ac9ba41ef925d3c8bccfb99,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",3c702aa9c7e0f2e6557f3f4ac129afd2ad4cfa2b027d6f4a357c02d4185359c4,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",5273bcdeb88ae274294ce71831b63a54ea8b1dd55b4b2222b5eeb0f44150f931,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",69b373084e47cbb54a9003ae2435adb49f184bfa11989a2800700da22a153dff,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",6e8b48972fab5610363cf4063c289e1670a252fdd40c020de0e3cfcd33c819f4,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",7dfa0774992032810660b413836e92f8ac3a4f6de5fa94c5f08c8159c34270e4,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",83efb5f2688207a7ccf49ddb81cb094543c2fef5bf73f01342cc39b0af68e72b,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",98bb0ab170efdf98414114d6c14a047d2144730f3552bb4aea36198fc49083ac,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",a3fc5447a9638a3469bab591d6f94ee2bc9c61fc12fd367317eec60f46955859,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",a696cf7cead8a2219559c802ecc395dcafd2e8f084bfcb8b011c0454519dc5f2,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",afb0c6b4b0af0a14ac725c025ac70e8b2d8b392094ecdb10e8a2afe2ecf47ea8,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",bcb46bf1c909958a09c52d22ca54dc281357e3c5bdc0f87a6f54553b7c31af9d,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",c541cfe6baea9c48e44f808977846c2f2a2dab4cfcca677701ceac6d8fc4e1cc,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",d3b7e26ed39783a6dd8fd107795d4afcf0a28dc5d9da1f4dd54ee905d9fb8f89,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",da3c6ec20a006ec4b289a90488f824f0f72098a2f5c2d3f37d7a2d4a83b344a0,,,,
PDF Editor,"NSIS (obfuscated JS, malicious)",f97c7edb0d8d9b65bf23df76412b6d2bbfbab6e3614e035789e4e1a30e40b7f1,,,,
PDF Editor,"NSIS (non-obfuscated JS, clean)",847dd2b363fc02d1f501207074eb4eecdff19063cc0cd7adce1572b428f970d8,1.0.40,,,
PDF Editor,"NSIS (non-obfuscated JS, clean)",bb3a744ac6a75e732dea1bd2110bc101205a2d19fdc7fbca82058f287cd61f3b,1.0.41,,,
AppSuite-Print,"NSIS (obfuscated JS, malicious)",c6dddeb7286806a99a2f208d094298d7fcaaae3cfba0103f9e0fe02ff6759069,,,,
pdfeditor.js,obfuscated (malicious),1bbf0e1323cff3168b548c4a80ec40fd3bed7630dccb7474ba4b8099df5e79d0,,,,
pdfeditor.js,obfuscated (malicious),1dcd142daf1116b6a3fac113c638248bf2e0859bb55411cec2256e3d6e9e94ae,,,,
pdfeditor.js,obfuscated (malicious),1e351bbae5338f24ce217ac182317ac7a4aee825cbaa5fe55cc347b650d2e987,,,,
pdfeditor.js,obfuscated (malicious),216e604948812db2d5062b20504e9acaf271d745da544a2c5d074a5fbf111ac9,,,,
pdfeditor.js,obfuscated (malicious),2a3a9ab2ad245d3464b5cc1bc8270568b5c490e4972e99e8f94ab2177874d81a,,,,
pdfeditor.js,obfuscated (malicious),2fee5916dad509ff4fea4f4b17795677bda7316253111b2abf7f523bae2a973e,,,,
pdfeditor.js,obfuscated (malicious),3ea32c0cb15693383604ac493638e38c43c82946e8fd33825e11d0b8a19d2e60,,,,
pdfeditor.js,obfuscated (malicious),41dd100a033fb11430c6f656af92aa97894aa63832171d32dc70c90e8c2733ee,,,,
pdfeditor.js,obfuscated (malicious),4de81d968d1c032a49d48d6a67ca282d0b1702167e158b374896f2f04fe3ca83,,,,
pdfeditor.js,obfuscated (malicious),645e96594ec5fd50ed2d50fa7de20f33dc15ce4c13aecc5564a051f24770b4bb,,,,
pdfeditor.js,obfuscated (malicious),a68cb60c61cb31cbe23abe885ca4bd8694e2bd2dcbbd86d12a4fbf6b0cbd0a37,,,,
pdfeditor.js,obfuscated (malicious),a92b89e5f05393f4844b85681cf5df63b9eb0ca49bb916dd60ed133eb9727bb3,,,,
pdfeditor.js,obfuscated (malicious),ac1042c8e64165945b0b07972b16d9d6d0235110d9ff0701f889fcc30cfa4859,,,,
pdfeditor.js,obfuscated (malicious),b3ef2e11c855f4812e64230632f125db5e7da1df3e9e34fdb2f088ebe5e16603,,,,
pdfeditor.js,obfuscated (malicious),cc5f29470a11fadf33e39fc0561ae781b1759ff3a314251111356fe51007945e,,,,
pdfeditor.js,obfuscated (malicious),e954548717c4c538b53ae4cc845cbfe5406b78ede79e4fd509ad2f2dfc4429ab,,,,
pdfeditor.js,obfuscated (malicious),f3f6d8f2d22040811bd3d06f488cd84f146f3093d6ac79bf68cc522e73c88765,,,,
appsuite-print.js,obfuscated (malicious),136836f64f7559868e01db4cbbef9f90f81bdea1278d6605fa13654134279e0c,,,,
Utilityaddon.node,,6022fd372dca7d6d366d9df894e8313b7f0bd821035dd9fa7c860b14e8c414f2,,,,
Utilityaddon.node,,9becf480290d3ae7d368d291999c81aa9f47944a90633567e54c4049bcfa3eb4,,,,
Utilityaddon.node,,2e846b8861d66d9bcaaf9615dc03798cf7f9c3231f2a1d2d31e3e652b954d4f5,,,,
S3-Forge,installer,58273bdab14074b1ee6592116d3611a625c3dad5fcad004ca2a32962950ff845,Squirrel,,,
S3-Forge,installer,5dddeedb394e61817ca8c8abe09532b0c8c5e1f9f4c08cedc5b62dd5e8e83505,Squirrel,,,
S3-Forge,installer,86a6b355d86fb0d3544b9bdd00a90b308f2efb63abf6845c70d8acd87603e23d,NSIS,,,
S3-Forge,installer,be138ec40b1061ff0de92942d2496f6ae9cf98e6f173eb4d58fdf982a8d0648a,Squirrel,,,
S3-Forge,installer,b0f8fcb1622eef0a6b398425dd13cbf608771ba2042f32ec3282933a141eec77,,,,
C&C domains,,5b7crp[.]com,,,,
C&C domains,,9mdp5f[.]com,,,,
C&C domains,,abf26u[.]com,,,,
C&C domains,,mka3e8[.]com,,,,
C&C domains,,y2iax5[.]com,,,,
Signing certificates,SHA256,16f854f6399f1c104446d3a3e2d25eb2088bf665186d892903f50ff4ed994181,,582C3A4B9934B7EC1028B638,Echo Infini Sdn. Bhd.,A2278EB6A438DC528F3EBFEB238028C474401BEF
Signing certificates,SHA256,b8bbf5aecfe0f437758f3f200539e51acfccf5ad9212c20967cfa4037b5a7e0d,,3474143F285FC35B0B1AE6AB407160D1,ECHO INFINI SDN. BHD.,7533D9D9C5241D0E031C21304C6A3FF064F79072
Signing certificates,SHA256,4d986e01e40ebcc495a1c4d98d7ee370b787dbe05da2954c0d8d49c5dcd4b345,,3FEBAE41896885E91FDB20E0950C6054,ECHO INFINI SDN. BHD.,29338264019B62D11F9C6C4B5A69B78B899B4DF6
Signing certificates,SHA256,ce27671c966d723f45522525fa4dd8912d09cae0f62b893870deb7ee1e7f4e0c,,28C7E66012DAB05A4A953D88F185ED2C,GLINT SOFTWARE SDN. BHD.,99201EEE9807D24851026A8E8884E4C40245FAC7
Signing certificates,SHA256,018ea246585f9def1a14a2690afab6f9e8fcbf1febb6bf9b8463a204a50a5411,,3909D81C6A38BFFAC887D96C6593F51D,Byte Media Sdn. Bhd.,107316C0EBEC469482B99FB8935CDB2EC327DCAA
Signing certificates,SHA256,003a69a0a2de87bcfd3982da1068478a8c2828eb07dc24edd93b419eb37d1980,,0DEFC375DC6DCDAED0CE4B249127755A,Summit Nexus Holdings LLC,76C675514EEC3A27A4E551A77ED30FBB0DC43A01
Signing certificates,SHA256,800a745e7a9f34064b79408aeac2b87515c49e5627dc344124c017ce86f43d3c,,71F4DED233C732913D3EF342,Byte Media Sdn. Bhd.,17F77710C888E30917F71F7909086BCC2D131F61
Signing certificates,SHA256,1946d13a16aed7247ed341db933f34b61fc9bb1dcdbd81102c9c54f0ba566851,,3F744CB0496EB63557494B807C0681BE,Byte Media Sdn Bhd,61CE7E9E22608EBC708C42B1CE5E842395C437D1